ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
1;442.343;1289;1225;654;2766;333;53.2;7;0.446;0.87;4.96;2.36;1.16;0.48;0.6;0.33;0.32;10.2;1.17;jja;159.25;2.97;djf;312;0.2;0.123;0.356;0.002;0.002;0.061;3.09;2.97;0.7;0.11;0.87;0.85;3.22;1.06;0.44;0.062;0.13;0.637;0.228;0.134;0.091;0.009;sc;0.001;0.002;0;0;0;0;0.604;0.06;0.01;0.316;0.002;0.001;0.002;-11.9;0.121;13
2;102.287;1775;1827;422;2097;368;18.8;283;0.607;0.66;4.92;2.18;0.92;0.44;0.61;0.26;0.41;9.25;1.23;jja;162.4;2.88;djf;321;0.051;0.193;0.322;0;0;0.029;2.53;2.45;0.65;0.01;0.85;1;0.56;0.59;0.44;0.031;0.09;0.556;0.289;0.156;0.106;0.013;mt;0;0.885;0;0;0;0;0.042;0.073;0;0;0;0;0;-13.1;0.025;3
3;434.012;1861;1944;529;2632;370;38.7;325;0.607;0.63;4.67;2.15;0.87;0.46;0.6;0.27;0.44;9.7;1.23;jja;161.6;2.87;djf;321;0.037;0.228;0.246;0.013;0.008;0.035;2.45;2.4;0.61;0;0.8;0.96;0.6;0.52;0.45;0.043;0.08;0.503;0.316;0.18;0.129;0.014;mt;0.001;0.837;0;0;0;0;0.153;0.007;0;0.001;0;0;0;-12.6;0.019;7
4;66.286;1894;1907;378;1843;393;12.5;257;0.737;0.8;4.93;2.05;0.86;0.42;0.56;0.27;0.44;8.7;1.25;jja;160.95;2.85;djf;321;0.047;0.279;0.169;0;0;0.023;2.48;2.45;0.62;-0.04;0.83;1.05;0.56;0.49;0.47;0.03;0.08;0.401;0.396;0.203;0.156;0.015;mt;0;0.599;0;0;0;0;0.401;0;0;0;0;0;0;-12.2;0.03;7
5;72.448;1774;1796;468;2336;432;13.6;40;0.704;0.63;5.06;2.2;1.19;0.43;0.5;0.27;0.34;10.45;1.22;jja;164.65;3;djf;321;0.024;0.307;0.289;0.014;0.021;0.017;2.27;2.21;0.56;0;0.69;0.84;0.45;0.31;0.47;0.032;0.05;0.393;0.394;0.213;0.176;0.019;sc;0;0.156;0;0;0;0;0.821;0.009;0;0;0;0;0.015;-11.9;0.056;7
6;95.345;1608;1617;398;1917;417;15;262;0.736;0.68;5.15;2.24;1.19;0.43;0.55;0.29;0.34;9.35;1.18;jja;162.8;2.9;djf;321;0.054;0.246;0.276;0;0;0.004;2.87;2.81;0.66;-0.01;0.86;1.02;0.51;0.45;0.47;0.032;0.07;0.377;0.422;0.202;0.155;0.018;sc;0;0.07;0;0;0;0;0.773;0.157;0;0;0;0;0;-11.9;0.077;7
7;373.391;1351;1388;508;2363;350;35.3;278;0.618;0.71;5.06;2.33;1.21;0.46;0.6;0.28;0.31;9.45;1.2;jja;163.4;2.93;djf;312;0.094;0.117;0.471;0;0.002;0.062;3.25;3.14;0.72;0.09;0.89;0.91;0.91;0.51;0.47;0.036;0.08;0.38;0.417;0.203;0.145;0.017;sc;0;0.1;0;0;0;0;0.631;0.269;0;0;0;0;0;-12;0.09;9
8;69.361;1562;1610;344;1879;407;16.7;7;0.562;0.62;5.13;2.29;1.3;0.45;0.52;0.3;0.23;10;1.15;NA;165.2;3;djf;312;0.006;0.117;0.577;0;0;0.006;3.15;3.02;0.72;0.08;0.86;0.88;0.56;1.09;0.42;0.033;0.11;0.699;0.185;0.116;0.123;0.007;sc;0;0.004;0;0;0;0;0.747;0.114;0.023;0.112;0;0;0;-11.7;0.101;9
9;68.667;804;654;363;1698;208;14.2;294;0.66;0.73;4.98;2.45;1.35;0.49;0.69;0.3;0.21;10.6;1.15;jja;167.3;3.04;djf;312;0.231;0.018;0.51;0;0;0.173;3.73;3.42;0.78;0.26;0.92;0.7;1.73;0.68;0.5;0.033;0.1;0.392;0.402;0.206;0.116;0.017;sm;0;0;0;0;0;0;0.335;0.665;0;0;0;0;0;-12.3;0.146;13
10;33.373;1471;1500;235;1126;325;8.2;265;0.797;0.7;4.96;2.32;1.47;0.47;0.55;0.31;0.23;10.5;1.14;jja;169.7;3.01;djf;321;0.037;0.032;0.442;0;0;0;4.04;3.93;0.77;0.05;0.95;1.03;0.6;0.66;0.47;0.03;0.1;0.342;0.47;0.188;0.146;0.017;sm;0;0;0;0;0;0;0.229;0.771;0;0;0;0;0;-12.4;0.16;13
11;25.471;540;485;140;757;125;8;294;0.711;0.65;4.82;2.48;1.48;0.51;0.72;0.31;0.15;10.9;1.13;jja;173.1;3.04;djf;112;0.214;0;0.381;0;0.002;0.385;3.03;2.7;0.74;0.3;0.92;0.62;5.59;0.96;0.48;0.06;0.12;0.56;0.279;0.161;0.099;0.014;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;12
12;10.241;436;434;11;70;33;6.5;302;0.558;0.3;4.74;2.48;1.51;0.52;0.73;0.32;0.12;11.5;1.14;jja;177.8;3.09;djf;211;0.471;0;0.201;0;0.03;0.244;3;2.64;0.74;0.28;1.02;0.72;36.47;1.14;0.45;0.033;0.12;0.672;0.189;0.139;0.103;0.009;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;13
13;104.689;829;774;384;1600;202;26.7;28;0.432;0.99;4.8;2.42;1.56;0.5;0.64;0.31;0.15;11.15;1.14;jja;173.95;3.08;djf;313;0.219;0.012;0.528;0;0.001;0.143;3.71;3.42;0.77;0.24;0.92;0.71;9.53;0.72;0.49;0.032;0.11;0.401;0.417;0.182;0.119;0.021;sc;0;0;0;0;0;0;0.846;0.079;0;0.075;0;0;0;-11.9;0.082;0
14;52.973;1149;1163;257;1440;308;10.1;1;0.816;1.03;4.84;2.35;1.55;0.49;0.57;0.31;0.18;10.7;1.14;jja;173.45;3.07;djf;313;0.029;0.032;0.754;0;0;0.018;4.4;4.14;0.79;0.18;0.88;0.77;0.76;0.46;0.49;0.028;0.09;0.311;0.521;0.168;0.148;0.023;sc;0;0;0;0;0;0;0.897;0.103;0;0;0;0;0;-11.8;0.073;16
15;17.6;844;811;189;953;171;7;277;0.673;1.08;4.77;2.35;1.6;0.49;0.57;0.29;0.16;10.6;1.15;jja;175.25;3.1;djf;231;0.368;0;0.52;0;0;0.077;4.34;4.15;0.8;0.16;0.93;0.84;0.97;0.68;0.47;0.026;0.11;0.43;0.374;0.196;0.145;0.011;sm;0;0;0;0;0;0;0.05;0.95;0;0;0;0;0;-13.1;0.183;16
16;45.823;584;459;219;975;118;9.1;299;0.837;0.97;4.66;2.4;1.6;0.52;0.6;0.29;0.13;11.15;1.14;jja;176.7;3.14;djf;112;0.333;0;0.317;0;0;0.32;2.78;2.51;0.73;0.22;0.92;0.73;14.96;0.89;0.46;0.037;0.12;0.526;0.31;0.163;0.115;0.012;sm;0;0;0;0;0;0;0.19;0.81;0;0;0;0;0;-12.5;0.165;19
17;8.241;939;951;321;1201;319;4.9;325;0.658;1.41;4.66;2.37;1.58;0.51;0.59;0.3;0.12;11.4;1.16;jja;177.45;3.12;djf;312;0.069;0;0.776;0;0;0.114;3.98;3.77;0.78;0.2;0.87;0.74;2.8;0.68;0.44;0.027;0.09;0.413;0.453;0.134;0.155;0.017;sc;0;0;0;0;0;0;0.957;0.043;0;0;0;0;0;-11.8;0.066;18
18;68.357;542;423;232;1234;140;15.4;24;0.607;0.55;4.67;2.43;1.57;0.52;0.65;0.31;0.12;11.6;1.15;jja;177.4;3.13;djf;112;0.33;0;0.284;0;0;0.332;2.76;2.49;0.73;0.24;0.94;0.73;20.19;1.04;0.44;0.03;0.12;0.572;0.281;0.147;0.111;0.01;sc;0;0;0;0;0;0;0.958;0.042;0;0;0;0;0;-11.8;0.065;19
19;1.765;403;403;3;19;30;4.6;335;0.324;2.05;4.56;2.46;1.58;0.54;0.65;0.29;0.11;11.7;1.14;jja;180.15;3.17;djf;411;0.552;0;0;0;0;0.015;3.38;2.94;0.78;0.22;1.13;0.91;50;0.64;0.46;0.024;0.1;0.474;0.323;0.202;0.051;0.008;sm;0;0;0;0;0;0;0;1;0;0;0;0;0;-15;0.19;0
20;40.731;1711;1720;301;1655;396;8.8;316;0.82;0.72;5.25;2.18;1.11;0.42;0.56;0.32;0.36;8.75;1.17;jja;161.05;2.91;djf;321;0.03;0.157;0.178;0;0;0;3.08;3.05;0.7;-0.04;0.99;1.21;0.58;0.53;0.47;0.03;0.08;0.378;0.403;0.219;0.148;0.017;sc;0;0.117;0;0;0;0;0.848;0.035;0;0;0;0;0;-11.9;0.059;21
21;106.663;1487;1530;327;1566;345;10.5;56;1.105;0.85;5.23;2.3;1.29;0.44;0.56;0.31;0.32;9.4;1.15;jja;166.4;2.97;djf;321;0.064;0.049;0.333;0;0;0.024;3.71;3.63;0.74;0.01;0.97;1.1;0.56;0.47;0.47;0.03;0.07;0.368;0.427;0.204;0.158;0.018;sm;0;0.064;0;0;0;0;0.415;0.521;0;0;0;0;0;-12.2;0.125;22
22;80.218;1309;1360;338;1359;352;11;274;0.919;0.81;5.06;2.32;1.44;0.46;0.55;0.31;0.25;10.05;1.15;jja;169;3.01;djf;321;0.049;0.048;0.48;0;0;0.018;3.92;3.82;0.76;0.04;0.93;1.01;0.61;0.46;0.48;0.03;0.08;0.311;0.522;0.167;0.147;0.022;sc;0;0;0;0;0;0;0.989;0.011;0;0;0;0;0;-11.8;0.061;29
23;14.04;1116;1116;276;1161;324;9;269;0.471;0.78;5.18;2.31;1.51;0.45;0.55;0.31;0.25;10.05;1.18;jja;168.95;3.03;djf;313;0.225;0.012;0.571;0;0;0.051;4.19;4.08;0.8;0.08;1;1.01;0.8;0.46;0.5;0.029;0.09;0.32;0.503;0.177;0.139;0.023;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;29
24;31.153;1480;1476;262;1074;314;6.4;344;0.985;0.85;5.27;2.29;1.38;0.43;0.55;0.32;0.28;9.4;1.16;jja;164.3;2.97;djf;321;0.048;0.128;0.338;0;0;0;3.56;3.49;0.72;0;0.9;1.04;0.62;0.38;0.49;0.036;0.07;0.365;0.431;0.204;0.161;0.021;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;29
