ID;NEXTDOWNID;dist_hdn;elev_diff;strm_slope
1;13;23.4;26;1.1
2;3;9;94;10.4
3;7;15.7;94;6
4;7;33.2;529;15.9
5;7;12.4;79;6.4
6;7;18.2;245;13.5
7;9;11;51;4.6
8;9;8.9;169;19
9;13;24.6;40;1.6
10;13;31.2;437;14
11;12;3.1;8;2.6
12;13;18.9;25;1.3
14;16;10.6;68;6.4
15;16;4.8;26;5.4
16;19;2.3;4;1.7
17;18;7.2;9;1.3
18;19;3.6;5;1.4
20;21;8.3;170;20.5
21;22;8.7;103;11.8
22;29;32.3;248;7.7
23;29;29.9;221;7.4
24;29;34.4;558;16.2
25;26;5.6;227;40.5
26;27;7.5;207;27.6
27;29;16.3;117;7.2
28;29;12.9;116;9
33;34;0.5;17;34
34;35;16.3;328;20.1
35;38;49.3;273;5.5
36;38;22.9;121;5.3
37;38;19.8;101;5.1
38;636;31.5;114;3.6
39;636;23.8;85;3.6
40;675;7;54;7.7
41;675;7.3;63;8.6
42;675;18.6;281;15.1
43;682;19.6;246;12.6
44;45;2.6;15;5.8
45;46;20.1;106;5.3
46;53;32.4;154;4.8
47;53;58.7;1188;20.2
48;51;28.1;538;19.1
49;50;26.2;527;20.1
50;51;10.8;242;22.4
51;53;19.5;68;3.5
52;53;13.1;106;8.1
53;63;13;54;4.2
54;63;32.7;686;21
55;56;8.2;749;91.3
56;58;26.7;705;26.4
57;58;22.6;693;30.7
58;60;16.5;255;15.5
59;60;4.6;663;144.1
60;62;9.4;225;23.9
61;62;14.7;1196;81.4
62;63;7.3;53;7.3
63;64;16.1;37;2.3
64;66;27.3;48;1.8
65;66;16.3;246;15.1
66;77;38;46;1.2
67;71;11.2;211;18.8
68;71;10.1;170;16.8
69;71;7.7;116;15.1
70;71;2.9;35;12.1
71;74;24.2;438;18.1
72;74;24.2;442;18.3
73;74;29.5;519;17.6
74;77;34.8;45;1.3
75;77;20.1;29;1.4
76;77;16.8;25;1.5
77;88;8.6;9;1
78;82;7.9;389;49.2
79;80;15.6;876;56.2
80;82;6.9;288;41.7
81;82;4.3;260;60.5
82;84;7.9;52;6.6
83;84;10.2;813;79.7
84;87;14.4;39;2.7
85;86;10.9;622;57.1
86;87;13.4;40;3
87;88;11.7;18;1.5
88;96;20.4;29;1.4
89;91;19.4;455;23.5
90;91;17.9;426;23.8
91;96;21;45;2.1
92;96;10.7;307;28.7
93;95;9.7;110;11.3
94;95;11.3;134;11.9
95;96;7.7;40;5.2
96;710;18.1;20;1.1
97;98;4.6;72;15.7
98;710;15.6;92;5.9
99;710;7.1;13;1.8
100;710;13.1;152;11.6
101;102;6.5;211;32.5
102;710;1.3;15;11.5
103;106;8.6;75;8.7
104;105;13.5;143;10.6
105;106;1.2;9;7.5
106;108;19.9;71;3.6
107;108;20;75;3.8
108;723;19.5;57;2.9
109;110;5.4;49;9.1
110;723;19.3;61;3.2
111;117;20.4;76;3.7
112;113;13.6;1158;85.1
113;117;20.5;99;4.8
114;117;18.4;65;3.5
115;117;15;91;6.1
116;117;8.1;31;3.8
117;122;27.6;36;1.3
118;122;30.7;144;4.7
119;122;24;38;1.6
120;122;23.3;42;1.8
121;122;7.3;17;2.3
122;129;25;149;6
123;124;12.6;383;30.4
124;129;26;161;6.2
125;126;9.7;134;13.8
126;129;19.3;319;16.5
127;128;10;278;27.8
128;129;22.3;239;10.7
129;135;44.4;135;3
130;135;50.4;417;8.3
131;133;19.8;157;7.9
132;133;18.2;179;9.8
133;135;3.1;8;2.6
134;135;1;4;4
135;137;29.7;55;1.9
136;137;14.3;38;2.7
137;149;17.4;21;1.2
138;149;16.6;26;1.6
139;149;23;40;1.7
140;141;9.2;79;8.6
141;149;16.4;36;2.2
142;730;57.1;352;6.2
143;730;43.5;235;5.4
144;730;41.8;225;5.4
145;730;19;123;6.5
147;149;17.8;29;1.6
148;149;11.9;27;2.3
149;728;36;35;1
150;151;7.8;36;4.6
151;728;27.6;31;1.1
152;154;11.4;43;3.8
153;154;11.7;51;4.4
154;162;23.4;105;4.5
155;156;9.8;82;8.4
156;159;4.3;23;5.3
157;158;3.9;20;5.1
158;159;3.8;19;5
159;160;12.8;56;4.4
160;162;17.3;79;4.6
161;162;17.3;76;4.4
162;173;42;50;1.2
163;165;24;156;6.5
164;165;15.1;101;6.7
165;167;4.7;25;5.3
166;167;4.5;29;6.4
167;173;29.9;28;0.9
168;171;6.1;31;5.1
169;170;10.8;84;7.8
170;171;7.9;44;5.6
171;173;27.9;78;2.8
172;173;24.2;57;2.4
173;714;13.1;11;0.8
