ID;area_calc;elev_mean;elev_med;elev_std;elev_ran;slope_mean;mvert_dist;mvert_ang;elon_ratio;strm_dens;p_mean;et0_mean;eta_mean;arid_1;arid_2;p_season;frac_snow;hi_prec_fr;hi_prec_du;hi_prec_ti;lo_prec_fr;lo_prec_du;lo_prec_ti;lc_dom;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;lai_max;lai_diff;ndvi_max;ndvi_min;gvf_max;gvf_diff;bedrk_dep;root_dep;soil_poros;soil_condu;soil_tawc;sand_fra;silt_fra;clay_fra;grav_fra;oc_fra;gc_dom;gc_ig_fra;gc_mt_fra;gc_pa_fra;gc_pb_fra;gc_pi_fra;gc_py_fra;gc_sc_fra;gc_sm_fra;gc_ss_fra;gc_su_fra;gc_va_fra;gc_vb_fra;gc_wb_fra;geol_perme;geol_poros;NEXTDOWNID
2;102.287;1775;1827;422;2097;368;18.8;283;0.607;0.66;4.92;2.18;0.92;0.44;0.61;0.26;0.41;9.25;1.23;jja;162.4;2.88;djf;321;0.051;0.193;0.322;0;0;0.029;2.53;2.45;0.65;0.01;0.85;1;0.56;0.59;0.44;0.031;0.09;0.556;0.289;0.156;0.106;0.013;mt;0;0.885;0;0;0;0;0.042;0.073;0;0;0;0;0;-13.1;0.025;0
6;95.345;1608;1617;398;1917;417;15;262;0.736;0.68;5.15;2.24;1.19;0.43;0.55;0.29;0.34;9.35;1.18;jja;162.8;2.9;djf;321;0.054;0.246;0.276;0;0;0.004;2.87;2.81;0.66;-0.01;0.86;1.02;0.51;0.45;0.47;0.032;0.07;0.377;0.422;0.202;0.155;0.018;sc;0;0.07;0;0;0;0;0.773;0.157;0;0;0;0;0;-11.9;0.077;0
10;33.373;1471;1500;235;1126;325;8.2;265;0.797;0.7;4.96;2.32;1.47;0.47;0.55;0.31;0.23;10.5;1.14;jja;169.7;3.01;djf;321;0.037;0.032;0.442;0;0;0;4.04;3.93;0.77;0.05;0.95;1.03;0.6;0.66;0.47;0.03;0.1;0.342;0.47;0.188;0.146;0.017;sm;0;0;0;0;0;0;0.229;0.771;0;0;0;0;0;-12.4;0.16;0
11;25.471;540;485;140;757;125;8;294;0.711;0.65;4.82;2.48;1.48;0.51;0.72;0.31;0.15;10.9;1.13;jja;173.1;3.04;djf;112;0.214;0;0.381;0;0.002;0.385;3.03;2.7;0.74;0.3;0.92;0.62;5.59;0.96;0.48;0.06;0.12;0.56;0.279;0.161;0.099;0.014;sc;0;0;0;0;0;0;1;0;0;0;0;0;0;-11.8;0.06;0
15;17.6;844;811;189;953;171;7;277;0.673;1.08;4.77;2.35;1.6;0.49;0.57;0.29;0.16;10.6;1.15;jja;175.25;3.1;djf;231;0.368;0;0.52;0;0;0.077;4.34;4.15;0.8;0.16;0.93;0.84;0.97;0.68;0.47;0.026;0.11;0.43;0.374;0.196;0.145;0.011;sm;0;0;0;0;0;0;0.05;0.95;0;0;0;0;0;-13.1;0.183;0
17;8.241;939;951;321;1201;319;4.9;325;0.658;1.41;4.66;2.37;1.58;0.51;0.59;0.3;0.12;11.4;1.16;jja;177.45;3.12;djf;312;0.069;0;0.776;0;0;0.114;3.98;3.77;0.78;0.2;0.87;0.74;2.8;0.68;0.44;0.027;0.09;0.413;0.453;0.134;0.155;0.017;sc;0;0;0;0;0;0;0.957;0.043;0;0;0;0;0;-11.8;0.066;18
18;68.357;542;423;232;1234;140;15.4;24;0.607;0.55;4.67;2.43;1.57;0.52;0.65;0.31;0.12;11.6;1.15;jja;177.4;3.13;djf;112;0.33;0;0.284;0;0;0.332;2.76;2.49;0.73;0.24;0.94;0.73;20.19;1.04;0.44;0.03;0.12;0.572;0.281;0.147;0.111;0.01;sc;0;0;0;0;0;0;0.958;0.042;0;0;0;0;0;-11.8;0.065;0
20;40.731;1711;1720;301;1655;396;8.8;316;0.82;0.72;5.25;2.18;1.11;0.42;0.56;0.32;0.36;8.75;1.17;jja;161.05;2.91;djf;321;0.03;0.157;0.178;0;0;0;3.08;3.05;0.7;-0.04;0.99;1.21;0.58;0.53;0.47;0.03;0.08;0.378;0.403;0.219;0.148;0.017;sc;0;0.117;0;0;0;0;0.848;0.035;0;0;0;0;0;-11.9;0.059;21
21;106.663;1487;1530;327;1566;345;10.5;56;1.105;0.85;5.23;2.3;1.29;0.44;0.56;0.31;0.32;9.4;1.15;jja;166.4;2.97;djf;321;0.064;0.049;0.333;0;0;0.024;3.71;3.63;0.74;0.01;0.97;1.1;0.56;0.47;0.47;0.03;0.07;0.368;0.427;0.204;0.158;0.018;sm;0;0.064;0;0;0;0;0.415;0.521;0;0;0;0;0;-12.2;0.125;22
22;80.218;1309;1359;338;1359;352;11;274;0.919;0.81;5.06;2.32;1.44;0.46;0.55;0.31;0.25;10.05;1.15;jja;169;3.01;djf;321;0.049;0.048;0.481;0;0;0.018;3.92;3.82;0.76;0.04;0.93;1.01;0.61;0.46;0.48;0.03;0.08;0.311;0.522;0.167;0.147;0.022;sc;0;0;0;0;0;0;0.989;0.011;0;0;0;0;0;-11.8;0.061;0
