ID;NEXTDOWNID;dist_hdn;elev_diff;strm_slope
17;18;7.2;9;1.3
20;21;8.3;170;20.5
21;22;8.7;103;11.8
40;675;7;54;7.7
41;675;7.3;63;8.6
42;675;18.6;281;15.1
43;682;19.6;246;12.6
55;56;8.2;749;91.3
56;58;26.7;705;26.4
57;58;22.6;693;30.7
67;71;11.2;211;18.8
68;71;10.1;170;16.8
69;71;7.7;116;15.1
70;71;2.9;35;12.1
89;91;19.4;455;23.5
90;91;17.9;426;23.8
93;95;9.7;110;11.3
94;95;11.3;134;11.9
101;102;6.5;211;32.5
103;106;8.6;75;8.7
104;105;13.5;143;10.6
105;106;1.2;9;7.5
106;108;19.9;71;3.6
107;108;20;75;3.8
108;723;19.5;57;2.9
109;110;5.4;49;9.1
110;723;19.3;61;3.2
112;113;13.6;1158;85.1
150;151;7.8;36;4.6
153;154;11.7;51;4.4
154;162;23.4;105;4.5
155;156;9.8;82;8.4
156;162;34.4;158;4.6
157;158;3.9;20;5.1
158;162;33.9;154;4.5
161;162;17.4;76;4.4
163;165;24;156;6.5
164;165;15.1;101;6.7
165;167;4.7;25;5.3
166;167;4.5;29;6.4
168;171;6.1;31;5.1
169;170;10.8;84;7.8
170;171;7.9;44;5.6
174;176;25.1;91;3.6
176;179;15.1;28;1.9
177;179;15.8;31;2
189;190;7.9;29;3.7
191;193;8.3;18;2.2
193;195;10.7;11;1
194;195;14.1;70;5
196;198;19.7;342;17.4
197;198;19.4;339;17.5
200;204;14.4;180;12.5
201;204;14.3;183;12.8
202;204;14.5;188;13
203;204;15;238;15.9
214;215;17.3;168;9.7
219;224;23.5;84;3.6
220;224;16.2;51;3.1
222;224;22.8;112;4.9
230;233;32.5;161;5
236;239;43;144;3.3
238;239;17.2;48;2.8
241;243;12.6;66;5.2
242;243;15.2;80;5.3
264;266;4.2;44;10.5
265;266;2.6;15;5.8
266;267;11.7;130;11.1
268;270;7.9;55;7
269;270;3.5;32;9.1
283;284;9.3;76;8.2
284;287;24.9;209;8.4
285;286;31.2;355;11.4
286;287;7.3;69;9.5
294;296;12.3;74;6
295;296;13.3;88;6.6
296;297;35.2;127;3.6
297;300;40.3;129;3.2
298;300;38.1;137;3.6
299;300;21.6;42;1.9
308;309;9.1;73;8
309;310;14.9;65;4.4
312;313;23.6;281;11.9
315;317;14.8;39;2.6
316;317;19.3;68;3.5
318;319;10.3;78;7.6
319;320;16.9;83;4.9
325;328;18.7;102;5.5
326;327;7.1;78;11
327;328;18.6;128;6.9
328;332;16.3;63;3.9
329;331;12.3;96;7.8
330;331;3.5;24;6.9
331;332;19.5;78;4
334;336;24.9;180;7.2
335;336;2;8;4
337;338;18.3;205;11.2
340;341;7.9;42;5.3
344;345;20.4;46;2.3
356;357;18.3;115;6.3
359;360;11.1;59;5.3
390;391;16.4;64;3.9
401;403;6.5;33;5.1
402;403;0.9;8;8.9
408;410;7.1;55;7.7
409;410;7.9;63;8
410;412;15.3;78;5.1
411;412;12.4;63;5.1
428;429;14.7;67;4.6
431;432;9.7;57;5.9
436;437;0.7;8;11.4
445;446;9.5;54;5.7
446;452;49.7;131;2.6
447;452;43;103;2.4
450;452;49.7;163;3.3
452;456;7.2;10;1.4
453;456;105.1;626;6
455;456;28.8;54;1.9
457;458;14.4;81;5.6
458;460;20.7;61;2.9
459;460;15.3;39;2.5
460;463;3.7;4;1.1
461;463;19.1;78;4.1
463;464;22.2;37;1.7
476;479;12.5;78;6.2
477;479;2.4;34;14.2
478;479;4;89;22.3
511;512;15.4;55;3.6
513;515;11.3;33;2.9
515;518;18.9;18;1
516;518;20.3;18;0.9
528;530;17.8;396;22.2
529;530;17.3;405;23.4
530;533;2.6;11;4.2
531;532;4.2;184;43.8
532;533;18.3;582;31.8
554;555;17;713;41.9
555;556;12.4;4;0.3
560;561;8.8;116;13.2
561;562;5.4;33;6.1
562;563;15;4;0.3
565;566;26.5;394;14.9
566;567;20.7;98;4.7
567;569;31;49;1.6
568;569;22.8;36;1.6
569;571;18.1;47;2.6
573;574;6.5;80;12.3
575;578;30.2;283;9.4
577;578;13.1;57;4.4
578;582;31.2;114;3.7
579;581;19.4;127;6.5
580;581;10.9;50;4.6
581;582;6.5;23;3.5
582;584;23.3;69;3
583;584;8;34;4.3
584;598;36.2;116;3.2
585;586;11.1;154;13.9
586;587;25.3;272;10.8
587;598;31.1;112;3.6
588;590;17.3;37;2.1
589;590;6.4;54;8.4
590;592;19.4;26;1.3
591;592;6.1;15;2.5
592;598;15.4;43;2.8
593;598;26.1;47;1.8
594;598;19.2;53;2.8
595;598;18.6;52;2.8
603;605;11.6;156;13.4
604;605;8.3;183;22
605;607;13.2;102;7.7
606;607;6.8;50;7.4
607;609;18.1;56;3.1
608;609;8.6;20;2.3
611;612;30.4;20;0.7
618;611;183.5;312;1.7
622;618;12.9;61;4.7
623;618;14.8;69;4.7
624;611;188.6;353;1.9
626;611;43.6;61;1.4
627;611;77.9;156;2
629;611;16.5;15;0.9
630;611;14.8;20;1.4
631;632;50.4;22;0.4
632;612;21.2;6;0.3
634;612;16.1;12;0.7
635;612;29.5;43;1.5
661;656;54.5;87;1.6
662;656;12.1;10;0.8
682;683;3.2;25;7.8
683;684;33.8;87;2.6
687;683;3.6;43;11.9
688;689;19.6;18;0.9
692;693;39.4;239;6.1
693;694;14.7;42;2.9
694;688;31.3;18;0.6
695;694;12.5;35;2.8
703;700;15.9;20;1.3
704;700;14.3;23;1.6
723;721;19.1;15;0.8
725;724;0.7;4;5.7
726;724;0.6;3;5
740;611;266.2;393;1.5
741;611;116;208;1.8
742;630;10.9;16;1.5
743;757;33.9;78;2.3
746;768;9.5;18;1.9
748;611;207.2;231;1.1
750;743;8.7;25;2.9
753;741;6.8;13;1.9
754;795;16.5;24;1.5
756;758;26.2;72;2.7
757;611;141.2;161;1.1
758;742;1.8;1;0.6
762;611;69;78;1.1
764;611;146.9;176;1.2
766;611;191.6;215;1.1
768;611;85.1;102;1.2
769;762;20.3;70;3.4
770;611;83;86;1
771;611;269.1;433;1.6
772;611;105;213;2
773;611;104.9;217;2.1
774;611;107.8;237;2.2
776;611;139.8;183;1.3
777;785;5.7;58;10.2
778;611;142.5;172;1.2
779;611;107.8;236;2.2
784;611;56.4;64;1.1
785;741;17.8;86;4.8
786;789;22.2;40;1.8
788;611;111.2;112;1
789;611;50.3;62;1.2
791;611;79.9;91;1.1
795;630;26.6;38;1.4
796;768;14.6;24;1.6
822;824;8.4;66;7.9
823;824;10.1;84;8.3
