ID;q_mean;runoff_ratio;stream_elas;slope_fdc;baseflow_index_ladson;baseflow_index_lfstat;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
1;2.837;0.627;1.642;1.574;0.765;0.746;238.857;1.029;6.618;0.048;1;0.476;1.111;0
2;3.811;0.773;1.122;2.334;0.732;0.78;245.861;1.072;10.066;0.083;1;2.111;10.857;0
3;0.899;0.191;2.499;1.001;0.699;0.69;234.656;0.406;2.693;6.156;2.855;0;0;0
4;5.076;1.018;0.855;2.166;0.749;0.813;243.316;1.469;13.331;0.053;1;1.316;4.167;0
5;3.311;0.65;1.158;2.022;0.757;0.787;239.963;1.06;7.635;0.296;1.333;0;0;0
6;5.059;0.981;1.066;2.563;0.651;0.637;235.944;1.139;14;0.917;1.5;9.972;5.983;0
7;2.042;0.418;1.978;1.665;0.727;0.653;234.375;0.69;4.889;0.469;1.667;0.594;2.375;0
8;2.144;0.413;1.49;1.555;0.667;0.658;219.577;0.734;5.588;2.038;1.71;2.577;9.571;0
9;4.437;0.899;1.241;1.601;0.759;0.649;236.639;1.457;9.399;0.028;1;1.361;1.195;0
10;5.259;1.055;0.867;2.72;0.558;0.531;225.694;0.787;16.917;4.722;1.828;40.611;7.497;0
11;3.471;0.713;1.147;0.888;0.795;0.779;195.038;1.367;5.53;0;0;1.5;2.438;0
12;4.554;0.944;0.924;0.772;0.87;0.897;200.194;2.451;6.948;0.032;1;0;0;0
13;3.156;0.684;1.427;1.596;0.768;0.715;238.917;1.197;7.076;0.083;1;0.167;1;0
14;4.601;0.944;1.094;2.882;0.402;0.281;216.972;0.455;16.294;13.222;1.38;70.667;6.205;0
15;3.672;0.768;1.066;2.662;0.418;0.311;205.714;0.393;13.042;11.343;1.388;60.627;6.241;0
16;3.597;0.75;0.98;2.471;0.467;0.361;213.75;0.544;11.069;7.583;1.282;38.778;4.968;0
17;2.789;0.588;0.744;2.898;0.46;0.332;215.263;0.367;8.681;5.21;1.435;52.682;5.958;0
18;2.203;0.467;1.413;1.812;0.557;0.486;209.556;0.518;6.325;4.139;1.393;9.5;5.182;0
19;3.126;0.661;1.108;2.363;0.501;0.407;211.515;0.531;9.429;5.121;1.29;29.182;5.599;0
20;5.634;1.073;1.372;3.213;0.589;0.558;237.389;0.848;17.862;3.306;1.368;48.083;10.243;0
21;4.985;0.952;1.355;2.813;0.585;0.543;231.111;0.771;15.224;1.778;1.255;36.778;8.827;0
22;5.087;0.982;1.633;2.766;0.565;0.517;229.167;0.777;15.699;2.167;1.258;41.25;8.735;0
23;3.784;0.729;1.033;2.533;0.475;0.383;204.885;0.54;12.02;6.769;1.333;44.036;6.223;0
24;5.894;1.118;1.449;3.519;0.5;0.432;231.833;0.652;20.077;7.972;1.586;75.444;8.733;0
25;6.052;1.2;0.832;2.966;0.443;0.365;210.857;0.657;21.379;10.905;1.477;66.526;7.201;0
26;11.006;2.127;0.432;2.616;0.547;0.475;210.842;2.317;33.881;1.632;1.192;16.157;5.482;0
27;2.621;0.519;1.092;2.617;0.473;0.385;196.417;0.411;8.616;7.861;1.394;41.167;5.093;0
28;3.867;0.831;1.216;2.536;0.437;0.345;178.972;0.641;14.024;11.472;1.4;36.333;4.917;0
29;4.842;0.96;1.357;2.086;0.572;0.447;212.528;0.837;13.123;1.167;1.2;26.694;2.516;0
30;3.049;0.664;1.766;2.595;0.41;0.311;198.694;0.33;11.182;13.389;1.53;60.056;5.46;0
32;2.807;0.636;1.411;2.689;0.428;0.333;176.889;0.408;10.231;12.169;1.475;47.285;5.455;0
33;5.454;1.068;0.584;4.385;0.643;0.688;253.333;0.479;17.497;2.861;2.861;98.056;26.947;0
34;4.953;0.965;1.04;3.556;0.636;0.651;249.972;0.735;15.977;3.889;2.373;60.139;21.225;0
35;4.641;0.904;1.217;3.176;0.653;0.662;244.361;0.799;13.987;1.25;1.324;34.278;13.865;0
36;4.921;0.925;2.008;2.606;0.657;0.65;245.417;1.059;13.961;1.556;1.217;11.861;13.774;0
37;3.343;0.659;2.336;2.503;0.679;0.703;234.632;0.727;9.144;1.263;1.846;11.421;21.7;0
38;3.769;0.739;1.813;2.352;0.705;0.727;242.278;0.883;10.147;0.5;1.385;8.472;9.242;0
39;3.445;0.705;1.557;1.967;0.663;0.637;217.194;0.968;8.423;0.806;1.45;0.944;2.615;0
40;3.12;0.642;1.312;2.143;0.791;0.88;243.917;1.014;7.001;0.083;1;0;0;0
41;0.819;0.167;2.917;2.164;0.789;0.849;233.033;0.17;1.94;0.133;1;15.899;14.455;0
42;2.528;0.523;1.937;2.627;0.719;0.776;238.182;0.599;6.415;0.394;1.625;5.394;25.429;0
43;2.734;0.567;1.931;1.778;0.749;0.775;231.556;0.871;6.165;0.194;1.4;0;0;0
44;2.265;0.58;1.209;3.34;0.666;0.707;252.472;0.383;7.45;2.583;2.657;45.139;16.927;0
45;2.342;0.675;1.476;1.858;0.669;0.518;251.111;0.403;6.189;0.056;1;26.917;1.791;0
46;2.702;0.769;1.222;1.722;0.703;0.561;249.722;0.626;6.576;0.028;1;9.972;1.502;0
47;4.333;1.297;-0.141;6.414;0.599;0.648;290.147;0.218;17.74;63.733;11.286;170.523;69.024;0
48;3.202;0.68;1.368;3.501;0.697;0.741;258.194;0.529;9.609;1.5;1.688;48.167;16.206;0
49;1.265;0.306;2.285;2.986;0.626;0.646;250.417;0.205;4.24;6.972;2.953;40.361;16.701;0
50;1.99;0.467;1.434;2.759;0.703;0.748;252.111;0.435;5.983;1.194;1.792;9.056;6.392;0
51;2.412;0.54;1.481;2.787;0.72;0.768;252.361;0.582;6.911;0.556;1.818;3.667;4.552;0
52;2.133;0.446;2.331;1.453;0.827;0.893;231.889;0.932;4.623;0.056;1;0;0;0
53;2.527;0.664;1.357;1.836;0.747;0.673;248.548;0.741;6.021;0.032;1;2.323;1.241;0
54;1.43;0.387;0.834;4.086;0.703;0.757;268.639;0.22;4.142;1.556;1.647;67.5;20.948;0
55;;;;;;;;;;;;;;
56;4.224;1.276;0.356;4.77;0.598;0.614;290.917;0.341;17.595;52.444;8.281;149.139;57.731;0
57;4.508;1.217;0.243;6.734;0.602;0.624;286.083;0.215;17.695;69.083;9.28;172.25;83.797;0
58;3.39;0.901;0.61;4.799;0.663;0.7;279.694;0.375;11.507;9.639;2.776;115.639;31.067;0
59;2.96;0.713;0.817;4.847;0.68;0.793;268.818;0.262;9.41;5.212;4;111.487;56.6;0
60;3.004;0.76;0.792;4.575;0.678;0.726;277.972;0.392;9.892;5.833;2.5;100.778;29.024;0
61;3.497;0.761;0.879;5.542;0.629;0.677;266.028;0.278;12.848;17.222;4.429;138.083;60.622;0
62;3.038;0.751;0.713;4.394;0.688;0.727;274.346;0.439;9.439;2.731;1.732;87.188;25.761;0
63;2.5;0.646;1.393;2.342;0.748;0.713;256.333;0.689;6.288;0.056;1;2.333;1.105;0
64;2.56;0.658;1.269;2.22;0.755;0.717;255.065;0.752;6.295;0.032;1;0.677;1.105;0
65;1.77;0.372;1.2;2.288;0.8;0.87;249.077;0.625;4.045;0.115;1;0;0;0
66;2.501;0.629;1.227;2.285;0.764;0.748;255.389;0.783;6.153;0.028;1;0.056;1;0
67;1.985;0.503;1.737;3.195;0.654;0.696;250.692;0.296;6.295;1.961;1.889;45.69;26.4;0
68;2.758;0.665;1.005;1.806;0.781;0.894;236.833;0.943;6.525;0.028;1;0;0;0
69;2.71;0.659;1.166;2.733;0.771;0.854;252.75;0.781;6.777;0.028;1;0;0;0
70;3.25;0.734;1.255;2.628;0.739;0.791;251.194;0.901;8.436;0.389;1.167;0.611;11;0
71;2.749;0.649;1.435;2.412;0.77;0.849;248.278;0.831;6.71;0.083;1;0;0;0
72;2.291;0.526;1.098;1.94;0.763;0.838;241.389;0.767;5.866;0.056;1;0;0;0
73;3.617;0.795;0.705;4.667;0.676;0.706;273;0.354;11.396;1.615;1.68;102.725;38.71;0
74;2.534;0.571;1.169;2.729;0.779;0.853;253.361;0.767;6.03;0.111;1;0;0;0
75;2.748;0.609;0.97;1.809;0.785;0.856;244.361;0.979;6.774;0.028;1;0;0;0
76;2.694;0.594;1.052;2.351;0.747;0.825;246.917;0.757;7.163;0.056;1;1.194;1.654;0
77;2.584;0.632;1.3;2.165;0.786;0.795;252.917;0.929;6.065;0;0;0;0;0
78;0.508;0.127;1.804;3.254;0.61;0.634;262.083;0.043;1.337;5.361;1.569;74.694;29.878;0
79;4.329;1.158;1.466;6.062;0.633;0.628;268.833;0.259;14.961;8.75;1.842;139.194;56.943;0
80;0.515;0.133;1.195;1.632;0.734;0.751;245.028;0.19;1.085;2.333;1.273;0.222;2;0
81;2.554;0.601;1.07;2.711;0.748;0.803;251.472;0.697;6.506;0.139;1.25;0.056;1;0
82;3.938;0.979;0.971;2.443;0.623;0.391;249.667;0.638;9.31;0;0;30.583;2.163;0
83;3.731;0.837;1.263;2.816;0.699;0.756;249.619;0.76;11.105;0.238;1.667;15.858;9.794;0
84;3.773;0.929;1.024;2.319;0.647;0.442;248.5;0.709;8.713;0.028;1;21.444;2.133;0
85;3.854;0.892;0.889;1.647;0.664;0.515;222.611;0.668;7.833;0.028;1;25.833;2.751;0
