YYYY;MM;DD;qobs;ckhs;qceq;qcol
2010;1;1;5.702;1;0;0
2010;1;2;4.737;1;0;0
2010;1;3;4.126;1;0;0
2010;1;4;3.648;1;0;0
2010;1;5;3.368;1;0;0
2010;1;6;3.108;1;0;0
2010;1;7;2.777;1;0;0
2010;1;8;2.554;1;0;0
2010;1;9;2.388;1;0;0
2010;1;10;2.233;1;0;0
2010;1;11;2.165;1;0;0
2010;1;12;2.199;1;0;0
2010;1;13;2.146;1;0;0
2010;1;14;2.122;1;0;0
2010;1;15;1.903;1;0;0
2010;1;16;1.825;1;0;0
2010;1;17;2.16;1;0;0
2010;1;18;2.191;1;0;0
2010;1;19;1.845;1;0;0
2010;1;20;1.652;1;0;0
2010;1;21;1.951;1;0;0
2010;1;22;1.77;1;0;0
2010;1;23;1.501;1;0;0
2010;1;24;1.782;1;0;0
2010;1;25;1.68;1;0;0
2010;1;26;1.543;1;0;0
2010;1;27;1.493;1;0;0
2010;1;28;1.558;1;0;0
2010;1;29;1.45;1;0;0
2010;1;30;1.539;1;0;0
2010;1;31;1.472;1;0;0
2010;2;1;1.369;1;0;0
2010;2;2;1.489;1;0;0
2010;2;3;1.628;1;0;0
2010;2;4;1.54;1;0;0
2010;2;5;1.561;1;0;0
2010;2;6;1.749;1;0;0
2010;2;7;1.684;1;0;0
2010;2;8;1.529;1;0;0
2010;2;9;1.49;1;0;0
2010;2;10;1.555;1;0;0
2010;2;11;1.303;1;0;0
2010;2;12;1.147;1;0;0
2010;2;13;1.095;1;0;0
2010;2;14;1.162;1;0;0
2010;2;15;1.163;1;0;0
2010;2;16;1.218;1;0;0
2010;2;17;1.301;1;0;0
2010;2;18;1.383;1;0;0
2010;2;19;1.602;1;0;0
2010;2;20;1.518;1;0;0
2010;2;21;1.39;1;0;0
2010;2;22;1.524;1;0;0
2010;2;23;1.818;1;0;0
2010;2;24;2.572;1;0;0
2010;2;25;3.273;1;0;0
2010;2;26;4.67;1;0;0
2010;2;27;4.023;1;0;0
2010;2;28;5.969;1;0;0
2010;3;1;6.399;1;0;0
2010;3;2;4.513;1;0;0
2010;3;3;3.588;1;0;0
2010;3;4;3.022;1;0;0
2010;3;5;2.427;1;0;0
2010;3;6;2.148;1;0;0
2010;3;7;2.044;1;0;0
2010;3;8;2.065;1;0;0
2010;3;9;2.393;1;0;0
2010;3;10;2.216;1;0;0
2010;3;11;2.114;1;0;0
2010;3;12;2.028;1;0;0
2010;3;13;1.981;1;0;0
2010;3;14;1.891;1;0;0
2010;3;15;1.772;1;0;0
2010;3;16;1.73;1;0;0
2010;3;17;1.731;1;0;0
2010;3;18;2.057;1;0;0
2010;3;19;3.309;1;0;0
2010;3;20;5.919;1;0;0
2010;3;21;13.56;1;0;0
2010;3;22;15.934;1;0;0
2010;3;23;12.869;1;0;0
2010;3;24;12.557;1;0;0
2010;3;25;13.558;1;0;0
