YYYY;MM;DD;hh;mm
2001;1;7;0;0
2001;1;7;1;0
2001;1;7;2;0
2001;1;7;3;0
2001;1;7;4;0
2001;1;7;5;0
2001;1;14;1;0
2001;1;14;2;0
2001;1;14;3;0
2001;1;14;4;0
2001;1;14;5;0
2001;1;14;6;0
2001;1;14;23;0
2001;1;18;2;0
2001;1;18;3;0
2001;1;18;4;0
2001;1;20;3;0
2001;1;20;4;0
2001;1;21;3;0
2001;1;21;4;0
2001;1;21;5;0
2001;1;21;6;0
2001;1;22;1;0
2001;1;22;2;0
2001;1;22;3;0
2001;1;22;4;0
2001;1;26;3;0
2001;1;26;4;0
2001;1;27;23;0
2001;1;28;0;0
2001;1;28;3;0
2001;1;28;4;0
2001;1;28;6;0
2001;1;28;12;0
2001;1;28;13;0
2001;1;28;14;0
2001;1;28;15;0
2001;12;30;23;0
2001;12;31;0;0
2001;12;31;1;0
2001;12;31;2;0
2001;12;31;3;0
2001;12;31;4;0
2001;12;31;5;0
2001;12;31;6;0
2001;12;31;7;0
2001;12;31;8;0
2001;12;31;9;0
2001;12;31;10;0
2001;12;31;11;0
2001;12;31;12;0
2001;12;31;13;0
2001;12;31;14;0
2001;12;31;15;0
2001;12;31;16;0
2001;12;31;17;0
2001;12;31;18;0
2001;12;31;19;0
2001;12;31;20;0
2001;12;31;21;0
2001;12;31;22;0
2001;12;31;23;0
2004;12;31;22;0
2004;12;31;23;0
