YYYY;MM;DD;P_A;P_B;T_A;T_B;PET_A;PET_B;ETA_A;ETA_B;BW0_A;BW0_B;BW3_A;BW3_B;SWW_A;SWW_B;Qsim_A;Qsim_B;Qobs
1981;1;1;1.18;1.18;-5.1;-5.1;0;0;0;0;78.38;78.38;250.43;250.43;1.18;1.18;0.68;0.68;-999
1981;1;2;2.06;2.06;-5.5;-5.5;0;0;0;0;78.19;78.19;250.16;250.16;3.24;3.24;0.66;0.66;-999
1981;1;3;1.56;1.56;-5.1;-5.1;0;0;0;0;78;78;249.88;249.88;4.8;4.8;0.64;0.64;-999
1981;1;4;2.8;2.8;-2.7;-2.7;0;0;0;0;78;78;249.28;249.28;7.6;7.6;0.63;0.63;-999
1981;1;5;2.57;2.57;-5.9;-5.9;0;0;0;0;78;78;248.67;248.67;10.17;10.17;0.63;0.63;-999
1981;1;6;0.92;0.92;-8.3;-8.3;0;0;0;0;78;78;248.07;248.07;11.09;11.09;0.62;0.62;-999
1981;1;7;0.8;0.8;-12.1;-12.1;0;0;0;0;78;78;247.47;247.47;11.89;11.89;0.62;0.62;-999
1981;1;8;0;0;-15.1;-15.1;0;0;0;0;78;78;246.87;246.87;11.89;11.89;0.62;0.62;-999
1981;1;9;0;0;-17;-17;0;0;0;0;78;78;246.27;246.27;11.89;11.89;0.62;0.62;-999
1981;1;10;0;0;-14.4;-14.4;0;0;0;0;78;78;245.68;245.68;11.89;11.89;0.62;0.62;-999
1981;1;11;0;0;-10.3;-10.3;0;0;0;0;78;78;245.08;245.08;11.89;11.89;0.62;0.62;-999
1981;1;12;0.06;0.06;-9.8;-9.8;0;0;0;0;78;78;244.49;244.49;11.95;11.95;0.62;0.62;-999
1981;1;13;3.64;3.64;-8.1;-8.1;0;0;0;0;78;78;243.9;243.9;15.59;15.59;0.61;0.61;-999
1981;1;14;0.08;0.08;-6.9;-6.9;0;0;0;0;78;78;243.31;243.31;15.67;15.67;0.61;0.61;-999
1981;1;15;1;1;-9.2;-9.2;0;0;0;0;78;78;242.72;242.72;16.67;16.67;0.61;0.61;-999
1981;1;16;0.22;0.22;-10.1;-10.1;0;0;0;0;78;78;242.13;242.13;16.89;16.89;0.61;0.61;-999
1981;1;17;0.1;0.1;-10.1;-10.1;0;0;0;0;78;78;241.54;241.54;16.99;16.99;0.61;0.61;-999
1981;1;18;0.32;0.32;-7.2;-7.2;0;0;0;0;78;78;240.96;240.96;17.31;17.31;0.61;0.61;-999
1981;1;19;0.91;0.91;-7.3;-7.3;0;0;0;0;78;78;240.38;240.38;18.22;18.22;0.61;0.61;-999
