COSERO_LamaH_daily                                 10:58 21 06 2021
NB_	IZ_	NZ_	TONZ_	Div_TONZ	QDIV_LT_	QDIV_UT_	QDIV_RATIO_	X_COORD	Y_COORD	WATERBODY_	DFZON_	ELEV_	NC_	ETSLPCOR_	CTMAX_	CTMIN_	NVAR_	RAINTRT_	SNOWCOR_	SNOWTRT_	THRT_	M_	FK_	PWP_	KBF_	BETA_	FKFAK_	H1_	H2_	TAB1_	TAB2_	TVS1_	TVS2_	TAB4_	TAB3_	TAB5_	PCor1_	PCor2_	PCor3_	PCor4_	PCor5_	PCor6_	PCor7_	PCor8_	PCor9_	PCor10_	PCor11_	PCor12_	TCor1_	TCor2_	TCor3_	TCor4_	TCor5_	TCor6_	TCor7_	TCor8_	TCor9_	TCor10_	TCor11_	TCor12_	TMMon1_	TMMon2_	TMMon3_	TMMon4_	TMMon5_	TMMon6_	TMMon7_	TMMon8_	TMMon9_	TMMon10_	TMMon11_	TMMon12_	INTMAX1_	INTMAX2_	INTMAX3_	INTMAX4_	INTMAX5_	INTMAX6_	INTMAX7_	INTMAX8_	INTMAX9_	INTMAX10_	INTMAX11_	INTMAX12_	ETVEGCOR1_	ETVEGCOR2_	ETVEGCOR3_	ETVEGCOR4_	ETVEGCOR5_	ETVEGCOR6_	ETVEGCOR7_	ETVEGCOR8_	ETVEGCOR9_	ETVEGCOR10_	ETVEGCOR11_	ETVEGCOR12_	DAYSDRY1_	DAYSDRY2_	DAYSDRY3_	DAYSDRY4_	DAYSDRY5_	DAYSDRY6_	DAYSDRY7_	DAYSDRY8_	DAYSDRY9_	DAYSDRY10_	DAYSDRY11_	DAYSDRY12_	DAYSWET1_	DAYSWET2_	DAYSWET3_	DAYSWET4_	DAYSWET5_	DAYSWET6_	DAYSWET7_	DAYSWET8_	DAYSWET9_	DAYSWET10_	DAYSWET11_	DAYSWET12_	ETSYSCOR1_	ETSYSCOR2_	ETSYSCOR3_	ETSYSCOR4_	ETSYSCOR5_	ETSYSCOR6_	ETSYSCOR7_	ETSYSCOR8_	ETSYSCOR9_	ETSYSCOR10_	ETSYSCOR11_	ETSYSCOR12_	KMELTRINI_	KSHINI_	KSWINI_	TSOILINI_	BW0INI_	BW1INI_	BW2INI_	BW3INI_	BW4INI_	BAREGR_	CTNeg_	CTRed_	DWHCAP_	EVPNS_	EVPSNO_	NSRHOMAX_	PEX2_	PEX3_	SETCON_	SNOWDET_	SOILTYPE_	SRHOMAX_	TSOILMAX_	TSOILMIN_	TVAR_	UADJ_	WHCAP_	SPARE1_	SPARE2_	SPARE3_	GLAC_CT_	GLAC_GLFAKT_	GLAC_ICECOV_	GLAC_TAB_
1	1	1	437	437	0	0	0	0	0	0	102.287	1775	3	1.6365	4.8814	5.0895	1.618	0.4867	1	-1.5585	0	495.9991	1	0	5758.75	0.2785	0.2472	1.2995	13.731	39.196	421.4158	12.0716	523.1393	0.2194	8752.0791	3.1908	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-9.02	-7.21	-3.25	0.16	4.39	8.49	11.12	10.97	7.39	3.49	-3.28	-8.01	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
2	1	2	592	592	0	0	0	0	0	0	66.286	1894	3	0.5168	6.9519	6.8681	2.2032	2.0431	1	-1.9199	0	105.4118	1	0	3095.793	3.8261	0.9996	1.0731	6.9642	72.42	421.5544	26.5736	326.3005	0.2285	4540.1738	0.2234	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-9.52	-7.73	-3.85	-0.45	3.69	7.72	10.42	10.3	6.76	2.9	-3.84	-8.52	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
3	1	3	592	682	0	32	0.3024	0	0	0	72.448	1774	3	0.5339	2.9761	2.913	0.8362	0.0243	1	-1.9849	0	350.2614	1	0	9561.1973	0.5346	0.5786	13.9013	20.1674	42.611	404.0968	45.8882	489.8895	0.1996	3727.123	0.1767	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-6.85	-5.17	-1.38	1.83	6.36	10.46	12.7	12.49	9.08	5.33	-1.21	-5.8	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
4	1	4	592	592	0	0	0	0	0	0	95.345	1608	3	0.5003	5.3633	6.3529	5.3343	0.8816	1	-1.9906	0	71.3928	1	0	1052.9062	0.1081	0.9948	1.2118	49.7569	39.2193	329.8881	32.4953	772.6549	0.1072	5631.502	0.1448	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.03	-5.56	-1.84	1.39	5.91	10.19	12.52	12.32	8.77	4.93	-1.68	-6	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
5	1	5	682	579	0	2	0.531	0	0	0	69.361	1562	5	1.262	4.4248	1.8293	1.0642	2.0465	1	-1.9945	0	195.8762	1	0	3090.9795	6.5721	0.9952	1.0351	46.3391	42.6599	16.8788	29.6873	106.4368	0.0822	3016.0801	0.0911	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-4.58	-3.1	0.74	4.07	8.78	12.57	14.65	14.4	10.95	7.17	0.85	-3.45	3.5	3.5	3.5	3.7	3.8	4	4	4	4	3.8	3.5	3.5	0.8	0.8	0.8	0.8	1	1.05	1.05	1.05	1	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
6	1	6	787	787	0	0	0	0	0	0	33.373	1471	3	0.5101	2.37	1.7679	0.2096	3.9651	1	-1.2657	0	130.3645	1	0	1038.1355	3.4281	0.9825	1.353	14.9604	15.927	8.0812	47.7313	414.5251	0.1059	9518.5342	0.1452	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-4.8	-3.45	0.31	3.73	8.68	12.55	14.66	14.39	10.81	6.93	0.49	-3.68	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
7	1	7	438	438	0	0	0	0	0	0	25.471	540	1	1.8767	3.2495	5.0443	9.6562	0.0149	1	-1.8907	0	87.1756	1	0	2869.1582	2.6046	0.8605	1.348	26.6506	116.2991	454.1534	31.6072	96.9284	0.2125	3894.5186	0.4019	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-3.2	-1.85	2.14	5.87	10.78	14.32	16.34	16.02	12.4	8.45	2.16	-1.98	0	0	0	0	0	0	0	0	0	0	0	0	0.7	0.7	0.7	0.75	0.8	0.9	0.9	0.9	0.8	0.75	0.7	0.7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
8	1	8	439	439	0	0	0	0	0	0	52.973	1149	6	0.5721	4.2964	6.2066	5.2356	2.4074	1	-1.9277	0	81.5186	1	0	1911.562	5.4585	0.9982	5.6312	12.6192	3.5895	5.505	99.447	219.0927	2.7956	2260.2876	1.0313	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-3.76	-2.53	1.26	4.87	9.9	13.59	15.66	15.36	11.71	7.77	1.45	-2.56	1	1	1	1.3	1.7	2	2	2	2	1.5	1	1	0.6	0.6	0.6	0.6	0.9	1.1	1.1	1.1	0.9	0.6	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
9	1	9	439	439	0	0	0	0	0	0	17.6	844	3	0.673	6.3274	6.3976	3.7854	0.0274	1	-1.9193	0	133.9833	1	0	9992.8252	5.8534	0.9269	5.6989	22.3203	11.2372	109.1987	42.0494	308.3948	0.2153	1674.2812	0.3448	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-3.23	-2.1	1.7	5.43	10.46	14.07	16.12	15.82	12.12	8.15	1.93	-1.97	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
10	1	10	440	440	0	0	0	0	0	0	8.241	939	5	1.4852	2.7296	3.2309	7.122	1.2043	1	-0.413	0	212.4377	1	0	9965.6875	0.5982	0.621	7.0772	4.617	1.4808	96.1962	24.2766	109.281	0.7357	9954.208	11.0807	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-2.71	-1.45	2.53	6.43	11.4	14.88	16.9	16.56	12.84	8.8	2.57	-1.45	3.5	3.5	3.5	3.7	3.8	4	4	4	4	3.8	3.5	3.5	0.8	0.8	0.8	0.8	1	1.05	1.05	1.05	1	0.8	0.8	0.8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
11	1	11	441	441	0	0	0	0	0	0	40.731	1711	3	0.5098	6.6534	6.7417	1.4843	0.3175	1	-1.9073	0	96.6405	1	0	2233.4556	9.9244	0.9995	1.2308	18.2601	20.613	292.6855	24.5964	446.9722	0.1851	806.2476	0.2811	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-7.48	-6.1	-2.51	0.66	5.01	9.29	11.73	11.54	8.05	4.28	-2.25	-6.45	0	0	0	0.3	0.7	1	1	1	1	0.5	0	0	0.5	0.5	0.6	0.8	0.9	1	1	1	0.9	0.85	0.7	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
12	1	12	683	683	0	0	0	0	0	0	14.04	1116	6	1.0352	6.8154	6.9115	2.733	0.0501	1	-1.9324	0	56.1598	1	0	3760.0986	9.9098	0.9433	6.2665	24.2588	2.7079	72.8251	22.2516	164.2595	5.2338	4293.2617	3.2898	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-5.12	-4.04	-0.58	2.62	7.6	11.62	13.75	13.54	9.98	6.21	-0.12	-3.98	1	1	1	1.3	1.7	2	2	2	2	1.5	1	1	0.6	0.6	0.6	0.6	0.9	1.1	1.1	1.1	0.9	0.6	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	5	0.7	1	2	3	0	0	1	0.7	0	0.7	0.3	0.3	9999	9999	0.2	1	1	0.45	15	-5	0	2	0.05	1	1	1	0.5	1	0	2
