ID;NB;NSE;KGE;CORR;MSE;pBIAS;MSIM;MOBS;fewobs
2;1;0.8534;0.9048;0.924;2.2182;0.4;4.668;4.6486;0
4;2;0.8797;0.8891;0.945;1.4945;-8.9;4.0794;4.4798;0
5;3;0.6877;0.7665;0.8294;1.5303;-0.5;2.7155;2.7303;0
6;4;0.7183;0.7797;0.8496;8.7882;-5.7;5.5061;5.8368;0
8;5;0.6836;0.7203;0.8283;1.4459;-1.1;1.7715;1.7904;0
10;6;0.5976;0.6121;0.7859;3.5513;-17.6;1.8035;2.1892;0
11;7;0.4899;0.6053;0.7055;0.1146;3.9;1.0375;0.9989;0
14;8;0.5921;0.6356;0.7717;8.9134;-4.2;2.6779;2.7961;0
15;9;0.6064;0.6707;0.7798;0.5051;5.3;0.8424;0.8002;0
17;10;0.7209;0.7158;0.8563;0.057;13.5;0.3545;0.3122;0
20;11;0.7223;0.7492;0.8621;2.6605;-16;2.3397;2.7865;0
23;12;0.6234;0.685;0.7903;0.3643;3.4;0.7103;0.6869;0
24;13;0.6986;0.6864;0.851;2.5304;-20;1.7966;2.2447;0
25;14;0.6553;0.559;0.8432;0.9332;-26;0.7991;1.0797;0
28;15;0.6323;0.6937;0.7956;12.877;-1.4;3.8918;3.9468;0
30;16;0.5236;0.5742;0.7319;0.077;18.5;0.2834;0.2392;0
32;17;0.6297;0.6993;0.8006;8.2695;14.5;3.8301;3.3441;0
33;18;0.839;0.8375;0.9222;0.5211;-11.7;1.4475;1.6399;0
36;19;0.7161;0.777;0.8465;4.0634;-2.2;3.8553;3.9422;0
37;20;0.8018;0.8631;0.8958;2.2157;1.6;3.4261;3.3733;0
40;21;0.7561;0.7961;0.8982;6.2348;15.1;8.6472;7.5114;0
41;22;-7.7479;-0.9921;0.6803;2.2204;195.7;2.1792;0.737;0
42;23;0.5815;0.5843;0.8695;0.6432;36.6;1.9333;1.4158;0
43;24;0.6838;0.7573;0.8359;1.2759;8.6;3.0969;2.8521;0
44;25;0.789;0.743;0.9097;2.1033;21.4;3.499;2.8828;0
47;26;0.8796;0.8948;0.9406;1.8373;-8.5;2.5413;2.7762;0
48;27;0.869;0.8984;0.9322;3.7066;-0.8;5.0024;5.0426;0
49;28;0.6281;0.7279;0.7932;1.4584;1.1;1.4865;1.4709;0
52;29;0.4695;0.6109;0.8634;0.871;33.6;2.6775;2.0044;0
54;30;0.7969;0.8651;0.8932;1.6256;1.8;2.8474;2.7963;0
55;31;0.8595;0.8717;0.9279;0.2691;-2;1.4303;1.4592;0
57;32;0.8805;0.8964;0.9389;3.3678;3.8;4.0697;3.9219;0
59;33;0.8095;0.8315;0.905;0.0519;11.3;0.4976;0.4472;0
61;34;0.892;0.8794;0.9472;0.024;9.3;0.4002;0.3661;0
65;35;0.8181;0.8783;0.9049;1.4085;-1.1;4.0292;4.0748;0
67;36;0.7514;0.7279;0.8911;0.0616;21.9;0.5727;0.4699;0
68;37;0.7838;0.8427;0.8854;0.3883;0.8;1.8796;1.8644;0
69;38;0.8376;0.8723;0.9185;1.092;6.1;3.5304;3.3281;0
70;39;0.7898;0.8505;0.8888;2.7293;0.8;4.1916;4.16;0
72;40;0.6609;0.6801;0.8908;0.5049;27.9;2.0389;1.5947;0
73;41;0.7808;0.83;0.8878;7.6152;9.2;5.8534;5.3612;0
75;42;0.7882;0.836;0.9045;0.5874;12;2.6098;2.3293;0
76;43;0.843;0.8576;0.9266;0.5633;10.3;2.5243;2.2883;0
78;44;0.4087;0.4706;0.6479;1.2434;-19.5;0.6282;0.7806;0
79;45;0.8167;0.8506;0.9084;0.3445;-10.3;1.0152;1.1322;0
81;46;0.7558;0.8252;0.8699;2.4765;2.3;3.8168;3.7326;0
83;47;0.8255;0.8683;0.9087;0.0742;-1.1;0.6872;0.695;0
89;48;0.6636;0.6999;0.832;0.0913;19.1;0.5488;0.4609;0
90;49;0.6246;0.7021;0.7935;0.0453;5.6;0.4602;0.4356;0
92;50;;;;;;;;1
93;51;0.7078;0.7846;0.8414;2.4574;0.7;3.4897;3.4649;0
94;52;0.7661;0.8431;0.8757;3.6845;-0.1;5.3745;5.3822;0
97;53;0.4283;0.5309;0.7838;0.1291;35.9;0.7758;0.5709;0
99;54;;;;;;;;1
100;55;0.5336;0.6301;0.7512;0.0137;13.8;0.2472;0.2173;0
101;56;0.6064;0.6581;0.7799;0.0166;1.6;0.1796;0.1767;0
103;57;0.7138;0.8062;0.8459;6.637;1.7;5.5591;5.4681;0
104;58;;;;;;;;1
107;59;0.694;0.775;0.8334;9.4441;1.5;7.1591;7.0545;0
109;60;0.7723;0.8441;0.8792;0.4177;-0.5;3.0036;3.02;0
111;61;0.7014;0.7951;0.8384;17.2669;-1.6;6.5166;6.6216;0
112;62;0.8785;0.9159;0.9375;0.5874;-2.2;1.519;1.5532;0
114;63;0.8707;0.8937;0.9335;0.7215;2.6;2.2074;2.1524;0
115;64;0.8005;0.8645;0.8951;0.8267;1.6;2.1639;2.13;0
116;65;0.767;0.8357;0.8769;0.2207;3.6;1.107;1.0686;0
118;66;0.828;0.8789;0.91;1.4503;-0.2;3.1246;3.1302;0
119;67;0.7683;0.8252;0.8772;0.0228;2.7;0.4264;0.4153;0
123;68;0.8806;0.9222;0.9386;0.6769;-0.5;2.8787;2.8942;0
125;69;0.7681;0.8363;0.8769;1.4312;1.7;3.3957;3.3402;0
130;70;0.7912;0.8518;0.8896;4.6943;-0.6;4.9484;4.9789;0
131;71;0.5048;0.6001;0.7448;8.9458;17.1;6.5204;5.5705;0
132;72;0.52;0.4094;0.8877;4.5073;-47.8;1.5764;3.0173;0
134;73;0.7957;0.85;0.8941;2.5862;6.3;3.5021;3.2941;0
138;74;0.5457;0.6011;0.7585;0.6108;23.3;1.0422;0.8452;0
139;75;0.4851;0.5558;0.7047;1.0067;13.8;1.2383;1.0885;0
140;76;0.7349;0.7846;0.8587;1.8268;4;3.2508;3.1253;0
142;77;0.7566;0.8291;0.8724;5.1285;5.4;5.4461;5.1679;0
143;78;0.6363;0.7252;0.7989;6.0414;3.7;4.4727;4.3114;0
144;79;0.2603;0.4095;0.7555;4.2643;47.9;4.1318;2.7939;0
145;80;0.6706;0.754;0.8195;4.3535;1.9;5.288;5.1874;0
148;81;0.4846;0.468;0.728;0.6387;29.4;0.9713;0.7506;0
150;82;0.4096;0.3745;0.7134;0.9566;48.5;1.2278;0.827;0
152;83;0.6764;0.7792;0.8322;0.2913;7.4;1.6416;1.5287;0
153;84;0.6268;0.6732;0.7959;0.0712;13.5;0.295;0.2598;0
155;85;0.4385;0.5552;0.6829;0.0195;16.4;0.2098;0.1802;0
157;86;0.1456;0.1875;0.566;0.3484;59.5;0.6986;0.438;0
161;87;0.4442;0.5697;0.671;0.0221;1.3;0.9034;0.8919;0
163;88;0.6901;0.7597;0.8311;0.1231;2.9;0.5509;0.5352;0
164;89;0.6137;0.6995;0.7876;0.0837;7.4;0.5415;0.5044;0
166;90;0.2595;0.3247;0.6068;0.6574;46;0.9452;0.6473;0
168;91;0.6219;0.656;0.8081;0.3372;21.1;0.958;0.7914;0
169;92;0.5832;0.5636;0.7824;0.0384;25.5;0.2371;0.1889;0
172;93;0.6135;0.6288;0.7907;1.3466;21.1;1.1471;0.947;0
174;94;0.6587;0.7384;0.8157;0.0507;11.8;0.2563;0.2292;0
177;95;0.5817;0.6525;0.7711;0.331;17.9;0.626;0.5311;0
178;96;0.636;0.72;0.8006;0.4565;6.2;1.3127;1.2357;0
180;97;0.6762;0.7297;0.8254;2.313;-6.1;2.799;2.98;0
181;98;0.5726;0.6094;0.7605;0.5076;-7;0.6476;0.696;0
183;99;0.6619;0.6914;0.8203;3.2236;-9.6;2.6523;2.9332;0
185;100;0.7036;0.7732;0.839;0.9035;1.3;1.9231;1.8979;0
188;101;0.6479;0.7079;0.8142;0.2682;14.2;0.8565;0.7499;0
191;102;0.5886;0.6413;0.7714;0.1423;14;0.3814;0.3346;0
192;103;0.6161;0.7231;0.789;0.7354;9.8;0.8117;0.7394;0
194;104;0.645;0.6923;0.8042;0.8015;-2.2;0.8049;0.8229;0
196;105;0.6662;0.7477;0.8163;0.275;-1;0.7554;0.7631;0
197;106;0.632;0.7177;0.796;0.0776;-4.2;0.4004;0.4181;0
199;107;0.7438;0.7803;0.864;0.0586;-4.8;0.4016;0.4219;0
200;108;0.8022;0.8567;0.8957;7.5212;0.8;6.4493;6.3952;0
201;109;0.7301;0.7035;0.8734;5.1993;-20.6;2.9654;3.7339;0
202;110;0.5262;0.6154;0.7264;0.2431;-4.8;0.5434;0.571;0
203;111;0.7502;0.7714;0.8763;3.293;-13.9;2.9846;3.467;0
205;112;0.7199;0.6028;0.9021;4.3888;-32.1;2.3801;3.505;0
208;113;0.6376;0.6977;0.799;9.8954;1.4;5.4186;5.3439;0
210;114;0.5906;0.597;0.7842;3.1522;-18.7;1.6929;2.0822;0
212;115;0.6153;0.7205;0.7918;0.787;11;1.308;1.1784;0
213;116;0.7277;0.7426;0.8577;0.3107;-4.9;1.2472;1.3113;0
214;117;0.645;0.6964;0.8087;0.2664;7;1.1852;1.108;0
217;118;0.5128;0.509;0.7956;2.8467;-33.5;1.6078;2.4165;0
219;119;0.7311;0.8008;0.8568;1.6029;5;2.7371;2.6076;0
220;120;0.6601;0.7186;0.8175;0.8589;12.6;1.2794;1.1362;0
