ID;start_ID;end_ID
1;RL26003499;RL26007522
2;RL26006333;RL26006574
3;RL26009290;RL26006800
4;RL26009360;RL26006781
5;RL26006373;RL26006921
6;RL26007281;RL26007218
7;RL26009290;RL26007117
8;RL26006649;RL26007210
9;RL26009290;RL26007510
10;RL26007469;RL26007354
11;RL26007330;RL26007551
12;RL26007330;RL26007551
13;RL26003499;RL26008222
14;RL26007594;RL26007893
15;RL26008070;RL26008069
16;RL26007594;RL26008131
17;RL26007740;RL26007800
18;RL26007649;RL26008065
19;RL26007594;RL26008131
20;RL26009372;RL26007472
21;RL26009372;RL26007688
22;RL26009372;RL26007752
23;RL26007797;RL26007780
24;RL26007677;RL26007861
25;RL26008178;RL26008152
26;RL26009402;RL26008119
27;RL26009402;RL26008229
28;RL26008531;RL26008354
29;RL26009372;RL26008195
30;RL26008350;RL26008333
32;RL26008606;RL26008426
33;RL35047398;RL35047873
34;RL35047534;RL35048098
35;RL35047534;RL35048602
36;RL35050001;RL35050559
37;RL35050012;RL35050857
38;RL35047534;RL35052639
39;RL35052211;RL35053340
40;RL35050792;RL35051009
41;RL35050207;RL35051008
42;RL35050733;RL35050577
43;RL35050834;RL35051396
44;RL35043974;RL35044291
45;RL35041386;RL35044321
46;RL35041386;RL35046009
47;RL35043638;RL35043891
48;RL35045036;RL35046549
49;RL35043643;RL35044608
50;RL35043643;RL35046037
51;RL35043643;RL35047039
52;RL35050730;RL35049706
53;RL35041386;RL35048167
54;RL35043875;RL35045814
55;RL35043547;RL35043547
56;RL35150906;RL35043474
57;RL35042948;RL35043641
58;RL35150906;RL35045562
59;RL35046107;RL35046785
60;RL35150906;RL35047256
61;RL35047481;RL35047969
62;RL35150906;RL35048408
63;RL35041386;RL35048914
64;RL35041386;RL35049660
65;RL35046752;RL35048358
66;RL35041386;RL35049152
67;RL35045029;RL35045403
68;RL35044772;RL35045402
69;RL35046972;RL35045768
70;RL35044887;RL35046215
71;RL35044887;RL35046535
72;RL35047141;RL35046591
73;RL35044998;RL35046021
74;RL35044887;RL35049355
75;RL35047475;RL35049740
76;RL35049029;RL35049921
77;RL35041386;RL35051364
78;RL35046508;RL35047407
79;RL35045086;RL35045362
80;RL35045086;RL35047297
81;RL35046531;RL35047288
82;RL35045086;RL35047743
83;RL35048416;RL35048217
84;RL35045086;RL35048792
85;RL35047553;RL35048296
86;RL35047553;RL35048793
87;RL35045086;RL35050636
88;RL35041386;RL35051905
89;RL35052476;RL35052626
90;RL35053303;RL35052965
91;RL35054945;RL35052186
92;RL35051991;RL35052077
93;RL35050066;RL35051863
94;RL35049894;RL35051913
95;RL35049894;RL35052791
96;RL35041386;RL35053251
97;RL35052653;RL35053081
98;RL35052683;RL35053530
99;RL35053961;RL35054179
100;RL35054007;RL35054140
101;RL35055167;RL35055167
102;RL35055147;RL35054769
103;RL35050380;RL35052388
104;RL35050328;RL35052072
105;RL35050328;RL35053191
106;RL35050328;RL35053312
107;RL35051613;RL35053313
108;RL35050328;RL35054991
109;RL35054006;RL35054587
110;RL35054006;RL35055012
111;RL35046483;RL35048983
112;RL35047034;RL35047034
113;RL35047034;RL35048984
114;RL35047452;RL35048951
115;RL35047597;RL35049225
116;RL35049835;RL35049898
117;RL35046404;RL35049745
118;RL35047264;RL35049256
119;RL35050345;RL35050200
120;RL35047165;RL35049530
121;RL35047453;RL35049912
122;RL35046404;RL35049945
123;RL35046966;RL35047947
124;RL35046966;RL35049897
125;RL35046137;RL35047855
126;RL35046137;RL35049351
127;RL35045915;RL35046690
128;RL35045915;RL35048104
129;RL35046404;RL35050365
130;RL35047143;RL35049316
131;RL35053227;RL35054240
132;RL35053890;RL35054032
133;RL35053227;RL35054329
134;RL35053765;RL35054332
135;RL35046404;RL35054531
136;RL35053196;RL35055966
137;RL35046404;RL35056732
138;RL35056787;RL35056750
139;RL35055996;RL35056413
140;RL35057570;RL35057255
141;RL35057570;RL35056901
142;RL35050583;RL35051052
143;RL35052153;RL35052140
144;RL35052832;RL35052167
145;RL35053195;RL35054126
147;RL35050583;RL35056780
148;RL35114088;RL35057771
149;RL35046404;RL35057586
150;RL35114175;RL35114055
151;RL35114175;RL35114037
152;RL35057474;RL35113970
153;RL35151003;RL35150411
154;RL35057474;RL35114399
155;RL35114426;RL35114426
156;RL35114426;RL35114071
157;RL35057724;RL35057799
158;RL35057724;RL35057868
159;RL35114426;RL35114237
160;RL35114426;RL35114558
161;RL35151012;RL35114559
162;RL35114426;RL35115277
163;RL35114573;RL35114642
164;RL35114520;RL35114935
165;RL35114573;RL35115195
166;RL35114599;RL35115252
167;RL35114573;RL35115455
168;RL35122898;RL35115109
169;RL35122747;RL35114645
170;RL35122747;RL35115089
171;RL35122898;RL35115423
172;RL35123807;RL35115592
173;RL35041386;RL35116363
174;RL35124183;RL35124183
175;RL35124183;RL35124356
176;RL35124183;RL35124949
177;RL35124546;RL35124795
178;RL35125387;RL35125022
179;RL35124183;RL35116335
180;RL35126727;RL35126045
181;RL35126717;RL35126457
182;RL35126717;RL35125495
183;RL35127234;RL35126860
184;RL35127234;RL35126491
185;RL35126445;RL35126240
186;RL35127234;RL35126127
187;RL35114198;RL35125033
188;RL35123092;RL35123596
189;RL35123092;RL35123764
190;RL35123092;RL35123676
191;RL35124406;RL35124406
192;RL35124389;RL35124450
193;RL35124406;RL35124421
194;RL35125206;RL35124812
195;RL35124406;RL35124944
196;RL35126211;RL35125752
197;RL35125970;RL35125970
198;RL35126211;RL35124840
199;RL35125344;RL35124947
200;RL35081810;RL35080856
201;RL35081744;RL35081027
202;RL35081452;RL35081296
203;RL35079898;RL35080171
204;RL35081810;RL35080306
205;RL35079840;RL35079810
206;RL35081810;RL35080955
207;RL35081810;RL35082006
208;RL35056634;RL35082072
209;RL35056634;RL35082086
210;RL35083229;RL35082544
211;RL35081810;RL35083465
212;RL35083781;RL35083518
213;RL35057469;RL35057216
214;RL35056652;RL35056740
215;RL35056652;RL35056861
216;RL35056652;RL35056699
217;RL35083291;RL35083147
218;RL35056652;RL35085481
219;RL35057269;RL35113929
220;RL35114411;RL35114109
221;RL35057269;RL35121857
222;RL35057324;RL35057884
223;RL35057324;RL35057884
224;RL35057269;RL35121881
225;RL35056652;RL35121829
226;RL35083900;RL35085687
227;RL35056652;RL35122546
228;RL35081810;RL35122582
229;RL35122719;RL35122633
230;RL35082232;RL35084373
231;RL35082232;RL35085490
232;RL35084654;RL35122181
233;RL35082232;RL35122643
234;RL35081810;RL35123093
235;RL35085721;RL35085722
236;RL35084598;RL35085249
237;RL35084598;RL35122506
238;RL35122063;RL35122539
239;RL35084598;RL35123866
240;RL35123170;RL35123864
241;RL35125713;RL35124821
242;RL35125868;RL35125011
243;RL35125713;RL35124306
244;RL35049578;RL35051515
245;RL35075767;RL35077366
246;RL35075888;RL35077352
247;RL35076222;RL35077049
248;RL35049578;RL35077684
249;RL35049578;RL35079493
250;RL35076692;RL35079490
251;RL35078045;RL35079905
252;RL35049578;RL35080308
253;RL35079004;RL35080136
254;RL35049578;RL35080640
255;RL35079980;RL35081215
256;RL35084884;RL35083390
257;RL35083386;RL35082353
258;RL35084884;RL35082181
259;RL35082206;RL35082697
260;RL35085068;RL35084733
261;RL35085629;RL35085439
262;RL35082858;RL35085088
263;RL35049578;RL35122331
264;RL35151025;RL35081657
265;RL35082199;RL35082019
266;RL35081392;RL35082020
267;RL35081392;RL35083176
268;RL35081539;RL35082105
269;RL35082172;RL35082435
270;RL35081539;RL35082691
271;RL35082149;RL35082149
272;RL35083004;RL35082903
273;RL35081539;RL35083104
274;RL35083359;RL35083359
275;RL35083421;RL35083575
276;RL35081539;RL35084336
277;RL35083600;RL35084644
278;RL35082799;RL35085050
279;RL35085080;RL35085240
280;RL35081539;RL35122386
281;RL35049578;RL35122351
282;RL35122009;RL35122396
283;RL35126365;RL35126012
284;RL35126365;RL35125646
285;RL35126327;RL35125955
286;RL35126327;RL35124803
287;RL35126327;RL35124625
288;RL35122576;RL35123700
289;RL35125818;RL35125386
290;RL35126074;RL35125564
291;RL35125818;RL35123770
292;RL35124810;RL35123738
293;RL35125238;RL35123928
294;RL35083743;RL35085055
