"short_name";"long_name";"R_color"
"ev";"Evaporites";"olivedrab1"
"ig";"Ice and glaciers";"paleturquoise1"
"mt";"Metamorphics";"palegreen3"
"pa";"Acid plutonic rocks";"brown3"
"pb";"Basic plutonic rocks";"purple4"
"pi";"Intermediate plutonic rocks";"violetred4"
"py";"Pyroclastics";"tan4"
"sc";"Carbonate sedimentary rocks";"steelblue3"
"sm";"Mixed sedimentary rocks";"cadetblue1"
"ss";"Siliciclastic sedimentary rocks";"goldenrod"
"su";"Unconsolidated sediments";"lightgoldenrod1"
"va";"Acid volcanic rocks";"pink"
"vb";"Basic volcanic rocks";"magenta3"
"vi";"Intermediate volcanic rocks";"orchid2"
"wb";"Water bodies";"turquoise2"
"nd";"No Data";"slategray"
